Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
MEM,MEM vs. GSW,04/10/2019,,W,240,132,48,98,49.0,21,46,45.7,15,18,83.3,15,34,49,25,9,0,11,18
GSW,GSW @ MEM,04/10/2019,,L,240,117,46,92,50.0,13,30,43.3,12,14,85.7,9,30,39,32,3,5,14,17
ORL,ORL @ CHA,04/10/2019,,W,240,122,48,88,54.5,11,30,36.7,15,20,75.0,9,30,39,24,5,2,6,19
CHA,CHA vs. ORL,04/10/2019,,L,240,114,41,78,52.6,8,29,27.6,24,27,88.9,4,28,32,21,3,4,8,14
MIN,MIN @ DEN,04/10/2019,,L,240,95,39,91,42.9,13,32,40.6,4,6,66.7,7,34,41,24,6,0,10,22
DEN,DEN vs. MIN,04/10/2019,,W,240,99,39,87,44.8,10,33,30.3,11,17,64.7,12,41,53,23,6,4,13,12
MIL,MIL vs. OKC,04/10/2019,,L,240,116,43,100,43.0,15,46,32.6,15,21,71.4,11,42,53,27,7,1,15,14
OKC,OKC @ MIL,04/10/2019,,W,240,127,48,99,48.5,23,54,42.6,8,13,61.5,9,44,53,40,7,3,13,20
ATL,ATL vs. IND,04/10/2019,,L,240,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,5,7,17,25
IND,IND @ ATL,04/10/2019,,W,240,135,45,98,45.9,12,30,40.0,33,39,84.6,13,30,43,22,12,7,8,28
SAC,SAC @ POR,04/10/2019,,L,240,131,50,96,52.1,18,43,41.9,13,16,81.3,12,23,35,25,5,1,10,17
POR,POR vs. SAC,04/10/2019,,W,240,136,53,91,58.2,14,24,58.3,16,22,72.7,14,30,44,19,5,2,13,17
LAC,LAC vs. UTA,04/10/2019,,W,265,143,54,106,50.9,12,28,42.9,23,30,76.7,12,40,52,34,7,5,12,27
